cat_id,cat_name,artist_id,artist_name,genres,face_count,face_id,face_pitch,face_yaw,face_roll,face_gender,face_glasses,face_height,face_width,face_beard,face_moustache,face_sideburns,face_smile
pop,Pop,1RyvyyTE3xzB2ZywiAwp0i,Future,dwn trap;pop rap;rap;southern hip hop;trap music,1,397abede-0a70-4954-8703-0a712ad04878,0.0,0.3,2.5,male,Sunglasses,157,157,0.0,0.3,0.1,0.01
pop,Pop,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,dance pop;pop;pop christmas;r&b;soul christmas;urban contemporary,1,fa6024e0-7802-45f0-b75f-66c247d5cf87,0.0,-4.3,-3.8,female,NoGlasses,196,196,0.0,0.0,0.0,0.0
pop,Pop,2qxJFvFYMEDqd7ui6kSAcq,Zedd,complextro;dance pop;edm;german techno;pop;tropical house,1,0269b792-3df9-4765-af35-d6b106a2b34c,0.0,-0.5,0.1,male,NoGlasses,249,249,0.5,0.5,0.4,0.002
pop,Pop,2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,dance pop;pop;post-teen pop,1,4788ea27-7134-4bf6-90a7-b01a6640b51d,0.0,8.6,10.0,female,NoGlasses,162,162,0.0,0.0,0.0,0.0
pop,Pop,3TVXtAsR1Inumwj472S9r4,Drake,canadian pop;hip hop;pop rap;rap,1,654318be-7c9b-4019-befd-357e1e0dfd16,0.0,12.6,4.4,male,NoGlasses,80,80,0.5,0.6,0.4,0.0
pop,Pop,23fqKkggKUBHNkbKtXEls4,Kygo,edm;minimal dub;pop;tropical house,0,,,,,,,,,,,,
pop,Pop,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,dance pop;pop;post-teen pop,2,72785ea0-22a0-4716-836c-09d4dea53772,0.0,2.2,-1.7,male,NoGlasses,166,166,0.1,0.0,0.1,0.0
pop,Pop,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,dance pop;pop;post-teen pop,2,2c8dff3f-50c4-45a4-85e5-a225cbe7b4ea,0.0,-24.8,-0.4,female,NoGlasses,145,145,0.0,0.0,0.0,0.0
pop,Pop,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,,1,0f276803-e16b-40fe-b1ef-a69884dc7151,0.0,-24.8,2.6,male,NoGlasses,62,62,0.2,0.3,0.2,0.015
pop,Pop,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,permanent wave;pop;pop christmas,4,34725af5-4fd6-4a26-81d1-691cbf6da251,0.0,9.7,27.7,male,NoGlasses,135,135,0.4,0.7,0.4,0.035
